操作日期,操作时间,股票代码,股票名称,操作,操作价格,操作原因,总资产
2025-01-08,09:30:00,600858,银座股份,buy,5.321,"Top3 pick rank=2; score=100.00%; raw_prob=52.75%; board=1; ret1=9.96%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-09,15:00:00,600858,银座股份,sell,6.375,T+2收盘回撤19.81%>-5%，T+2收盘卖出 (no intraday-high optimization).,11887.57
2025-01-15,09:30:00,000056,皇庭国际,buy,2.750,"Top3 pick rank=1; score=100.00%; raw_prob=56.59%; board=1; ret1=10.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",11882.57
2025-01-16,15:00:00,000056,皇庭国际,sell,2.820,T+2收盘回撤2.55%>-5%，T+2收盘卖出 (no intraday-high optimization).,12178.57
2025-01-20,09:30:00,603082,北自科技,buy,37.396,"Top3 pick rank=3; score=100.00%; raw_prob=50.29%; board=1; ret1=10.01%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",12173.57
2025-01-21,15:00:00,603082,北自科技,sell,39.684,T+2收盘回撤6.12%>-5%，T+2收盘卖出 (no intraday-high optimization).,12854.77
2025-01-23,09:30:00,000856,冀东装备,buy,9.770,"Top3 pick rank=1; score=100.00%; raw_prob=60.82%; board=3; ret1=10.01%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",12849.77
2025-01-24,15:00:00,000856,冀东装备,sell,11.570,T+2收盘回撤18.42%>-5%，T+2收盘卖出 (no intraday-high optimization).,15184.77
2025-02-07,09:30:00,600889,南京化纤,buy,19.820,"Top3 pick rank=1; score=100.00%; raw_prob=51.29%; board=1; ret1=9.98%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",15179.77
2025-02-10,15:00:00,600889,南京化纤,sell,19.950,T+2收盘回撤0.66%>-5%，T+2收盘卖出 (no intraday-high optimization).,15265.77
2025-02-12,09:30:00,000156,华数传媒,buy,8.420,"Top3 pick rank=2; score=100.00%; raw_prob=62.18%; board=1; ret1=10.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",15260.77
2025-02-13,15:00:00,000156,华数传媒,sell,9.233,T+2收盘回撤9.65%>-5%，T+2收盘卖出 (no intraday-high optimization).,16718.57
2025-02-17,09:30:00,301459,丰茂股份,buy,39.659,"Top3 pick rank=3; score=99.99%; raw_prob=40.04%; board=1; ret1=20.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",16713.57
2025-02-18,15:00:00,301459,丰茂股份,sell,47.270,T+2收盘回撤19.19%>-5%，T+2收盘卖出 (no intraday-high optimization).,19753.15
2025-02-20,09:30:00,605088,冠盛股份,buy,32.433,"Top3 pick rank=2; score=100.00%; raw_prob=42.04%; board=1; ret1=10.01%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",19748.15
2025-02-21,15:00:00,605088,冠盛股份,sell,34.566,T+2收盘回撤6.58%>-5%，T+2收盘卖出 (no intraday-high optimization).,21022.97
2025-02-25,09:30:00,000158,常山北明,buy,27.470,"Top3 pick rank=2; score=100.00%; raw_prob=62.83%; board=1; ret1=10.01%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",21017.97
2025-02-26,15:00:00,000158,常山北明,sell,27.410,T+2收盘回撤-0.22%>-5%，T+2收盘卖出 (no intraday-high optimization).,20970.97
2025-03-11,09:30:00,000678,襄阳轴承,buy,10.520,"Top3 pick rank=1; score=100.00%; raw_prob=52.40%; board=1; ret1=10.05%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",20965.97
2025-03-12,15:00:00,000678,襄阳轴承,sell,12.580,T+2收盘回撤19.58%>-5%，T+2收盘卖出 (no intraday-high optimization).,24873.99
2025-03-14,09:30:00,002093,国脉科技,buy,13.142,"Top3 pick rank=1; score=99.88%; raw_prob=37.87%; board=1; ret1=10.03%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",24868.08
2025-03-17,15:00:00,002093,国脉科技,sell,13.924,T+2收盘回撤5.95%>-5%，T+2收盘卖出 (no intraday-high optimization).,26270.07
2025-03-19,09:30:00,603139,康惠股份,buy,18.820,"Top3 pick rank=3; score=100.00%; raw_prob=41.86%; board=2; ret1=9.99%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",26263.95
2025-03-20,15:00:00,603139,康惠股份,sell,18.820,T+2收盘回撤0.00%>-5%，T+2收盘卖出 (no intraday-high optimization).,26257.84
2025-03-27,09:30:00,600468,百利电气,buy,5.350,"Top3 pick rank=2; score=100.00%; raw_prob=46.06%; board=2; ret1=10.10%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",26251.28
2025-03-31,15:00:00,600468,百利电气,sell,4.660,T+2收盘回撤-11.59%<=-5%，延长到T+3收盘卖出 (no intraday-high optimization).,22864.57
2025-04-10,09:30:00,000016,深康佳A,buy,4.260,"Top3 pick rank=1; score=100.00%; raw_prob=80.81%; board=1; ret1=9.90%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",22858.93
2025-04-11,15:00:00,000016,深康佳A,sell,5.100,T+2收盘回撤19.72%>-5%，T+2收盘卖出 (no intraday-high optimization).,27304.17
2025-04-15,09:30:00,002675,东诚药业,buy,14.230,"Top3 pick rank=3; score=100.00%; raw_prob=42.86%; board=1; ret1=10.03%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",27297.41
2025-04-16,15:00:00,002675,东诚药业,sell,14.809,T+2收盘回撤4.07%>-5%，T+2收盘卖出 (no intraday-high optimization).,28390.06
2025-04-21,09:30:00,002809,红墙股份,buy,9.594,"Top3 pick rank=2; score=100.00%; raw_prob=47.65%; board=2; ret1=9.99%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",28383.10
2025-04-22,15:00:00,002809,红墙股份,sell,11.323,T+2收盘回撤18.02%>-5%，T+2收盘卖出 (no intraday-high optimization).,33389.53
2025-04-25,09:30:00,002251,步步高,buy,6.730,"Top3 pick rank=1; score=100.00%; raw_prob=58.48%; board=4; ret1=10.03%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",33381.29
2025-04-28,15:00:00,002251,步步高,sell,6.750,T+2收盘回撤0.30%>-5%，T+2收盘卖出 (no intraday-high optimization).,33471.02
2025-05-07,09:30:00,000632,三木集团,buy,3.580,"Top3 pick rank=1; score=100.00%; raw_prob=58.95%; board=1; ret1=9.94%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",33462.69
2025-05-08,15:00:00,000632,三木集团,sell,3.630,T+2收盘回撤1.40%>-5%，T+2收盘卖出 (no intraday-high optimization).,33919.25
2025-05-13,09:30:00,688648,中邮科技,buy,32.990,"Top3 pick rank=2; score=100.00%; raw_prob=45.54%; board=1; ret1=19.99%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",33911.01
2025-05-14,15:00:00,688648,中邮科技,sell,33.880,T+2收盘回撤2.70%>-5%，T+2收盘卖出 (no intraday-high optimization).,34792.54
2025-05-19,09:30:00,603109,神驰机电,buy,27.729,"Top3 pick rank=2; score=95.05%; raw_prob=33.28%; board=1; ret1=10.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",34784.22
2025-05-20,15:00:00,603109,神驰机电,sell,28.747,T+2收盘回撤3.67%>-5%，T+2收盘卖出 (no intraday-high optimization).,35997.43
2025-05-22,09:30:00,605136,丽人丽妆,buy,12.660,"Top3 pick rank=2; score=100.00%; raw_prob=48.60%; board=5; ret1=9.99%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",35988.57
2025-05-23,15:00:00,605136,丽人丽妆,sell,14.510,T+2收盘回撤14.61%>-5%，T+2收盘卖出 (no intraday-high optimization).,41158.41
2025-05-27,09:30:00,301536,星宸科技,buy,63.970,"Top3 pick rank=2; score=100.00%; raw_prob=44.77%; board=1; ret1=20.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",41148.82
2025-05-28,15:00:00,301536,星宸科技,sell,61.720,T+2收盘回撤-3.52%>-5%，T+2收盘卖出 (no intraday-high optimization).,39789.56
2025-06-04,09:30:00,001268,联合精密,buy,24.140,"Top3 pick rank=2; score=100.00%; raw_prob=53.62%; board=1; ret1=10.01%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",39779.90
2025-06-05,15:00:00,001268,联合精密,sell,23.880,T+2收盘回撤-1.08%>-5%，T+2收盘卖出 (no intraday-high optimization).,39354.35
2025-06-09,09:30:00,603226,菲林格尔,buy,11.100,"Top3 pick rank=3; score=100.00%; raw_prob=51.65%; board=3; ret1=9.96%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",39344.64
2025-06-10,15:00:00,603226,菲林格尔,sell,12.020,T+2收盘回撤8.29%>-5%，T+2收盘卖出 (no intraday-high optimization).,42554.12
2025-06-13,09:30:00,002365,永安药业,buy,23.339,"Top3 pick rank=1; score=100.00%; raw_prob=48.08%; board=1; ret1=10.02%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",42543.62
2025-06-16,15:00:00,002365,永安药业,sell,26.956,T+2收盘回撤15.50%>-5%，T+2收盘卖出 (no intraday-high optimization).,49042.80
2025-06-18,09:30:00,300457,赢合科技,buy,20.382,"Top3 pick rank=2; score=100.00%; raw_prob=53.82%; board=1; ret1=20.01%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",49030.57
2025-06-19,15:00:00,300457,赢合科技,sell,20.978,T+2收盘回撤2.93%>-5%，T+2收盘卖出 (no intraday-high optimization).,50449.67
2025-06-24,09:30:00,600201,生物股份,buy,7.980,"Top3 pick rank=2; score=100.00%; raw_prob=50.77%; board=1; ret1=9.97%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",50437.10
2025-06-25,15:00:00,600201,生物股份,sell,8.050,T+2收盘回撤0.87%>-5%，T+2收盘卖出 (no intraday-high optimization).,50863.78
2025-06-27,09:30:00,000026,飞亚达,buy,13.100,"Top3 pick rank=1; score=100.00%; raw_prob=55.52%; board=1; ret1=10.02%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",50851.34
2025-06-30,15:00:00,000026,飞亚达,sell,15.820,T+2收盘回撤20.76%>-5%，T+2收盘卖出 (no intraday-high optimization).,61172.31
2025-07-02,09:30:00,002549,凯美特气,buy,11.560,"Top3 pick rank=1; score=100.00%; raw_prob=49.21%; board=2; ret1=10.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",61157.28
2025-07-03,15:00:00,002549,凯美特气,sell,13.260,T+2收盘回撤14.71%>-5%，T+2收盘卖出 (no intraday-high optimization).,69980.04
2025-07-09,09:30:00,000514,渝开发,buy,5.670,"Top3 pick rank=1; score=100.00%; raw_prob=53.46%; board=2; ret1=10.10%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",69962.61
2025-07-10,15:00:00,000514,渝开发,sell,6.860,T+2收盘回撤20.99%>-5%，T+2收盘卖出 (no intraday-high optimization).,84578.51
2025-07-14,09:30:00,605259,绿田机械,buy,22.030,"Top3 pick rank=1; score=100.00%; raw_prob=47.32%; board=1; ret1=10.01%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",84557.59
2025-07-15,15:00:00,605259,绿田机械,sell,26.470,T+2收盘回撤20.15%>-5%，T+2收盘卖出 (no intraday-high optimization).,101404.44
2025-07-17,09:30:00,603093,南华期货,buy,26.470,"Top3 pick rank=1; score=100.00%; raw_prob=43.93%; board=1; ret1=10.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",101379.29
2025-07-18,15:00:00,603093,南华期货,sell,25.610,T+2收盘回撤-3.25%>-5%，T+2收盘卖出 (no intraday-high optimization).,98086.96
