model,rule,signal_date,buy_date,sell_date,stock_code,stock_name,signal_score,buy_price,sell_price,shares,buy_fee,sell_fee,pnl,pnl_pct,hold_days,exit_rule,reason,equity_after
laowang,laowang_style,2025-07-03,2025-07-04,2025-07-30,600051,宁波联合,62.0,7.28364,7.5862050000000005,13700,25.944325680000002,78.98756646000001,4040.2086078600114,0.040478261176914124,19,ma20_break,ok,104040.20860786001
laowang,laowang_style,2026-01-07,2026-01-08,2026-01-29,600067,冠城新材,60.0,4.28214,4.367815,24200,26.943224880000002,80.33285348000001,1966.0589216400112,0.018967382370367894,16,ma20_break,ok,106006.26752950002
laowang,ma5_break,2025-07-03,2025-07-04,2025-07-15,600051,宁波联合,62.0,7.28364,7.63618,13700,25.944325680000002,79.50790616000002,4724.345768160012,0.047332531672150714,8,ma5_break,ok,104724.34576816001
laowang,ma5_break,2025-07-16,2025-07-17,2025-07-18,600053,*ST九鼎,62.0,15.457724999999998,15.472260000000002,6700,26.92735695,78.78474792,-8.327604869991774,-8.038718654994425e-05,2,ma5_break,ok,104716.01816329002
laowang,ma5_break,2025-07-21,2025-07-22,2025-07-29,600053,*ST九鼎,62.0,15.487739999999999,16.161915000000004,6700,26.97964308,82.29647118000003,4407.696385740026,0.042465468281734794,6,ma5_break,ok,109123.71454903005
laowang,ma5_break,2026-01-07,2026-01-08,2026-01-15,600067,冠城新材,60.0,4.28214,4.27786,25400,28.27925256,82.57980944000002,-219.5710619999736,-0.002018215893552591,6,ma5_break,ok,108904.14348703007
stwg,stwg_style,2025-04-22,2025-04-23,2025-04-28,600081,东风科技,57.5,13.628952400665,13.117329884085,7300,25.867751656462172,72.77494619690358,-3833.487068887378,-0.038520841500957755,4,ma10_break,ok,96166.51293111262
stwg,stwg_style,2025-07-18,2025-07-21,2025-07-29,600095,湘财股份,55.5,10.92546,11.214390000000002,8700,24.71339052,74.14954668000001,2414.828062800021,0.02539886608739374,7,ma10_break,ok,98581.34099391264
stwg,stwg_style,2025-07-30,2025-07-31,2025-08-01,600082,ST海泰,65.0,4.08204,4.01799,24100,25.578062640000002,73.59350484000001,-1642.7765674799884,-0.01669441860100047,2,ma10_break,ok,96938.56442643265
stwg,stwg_style,2025-08-07,2025-08-08,2025-08-14,600051,宁波联合,55.0,7.713855,7.666165,12500,25.07002875,72.82856749999999,-694.0235962499864,-0.0071958126982554025,5,ma10_break,ok,96244.54083018267
stwg,stwg_style,2026-02-05,2026-02-06,2026-02-09,600078,澄星股份,57.5,11.375684999999999,11.534229999999999,8400,24.84449604,73.63452432,1233.298979640007,0.012903235583852346,2,ma10_break,ok,97477.83980982268
stwg,stwg_style,2026-02-13,2026-02-24,2026-03-11,600089,特变电工,57.5,29.164574999999996,31.02448,3300,25.023205349999998,77.80939584000001,6034.853898810019,0.06268797868487569,12,ma10_break,ok,103512.6937086327
stwg,ma5_break,2025-04-22,2025-04-23,2025-04-25,600081,东风科技,57.5,13.628952400665,13.874290454465001,7300,25.867751656462172,76.97456344137183,1688.1254776421702,0.0169631494222977,3,ma5_break,ok,101688.12547764217
stwg,ma5_break,2025-07-18,2025-07-21,2025-07-25,600095,湘财股份,55.5,10.92546,11.27436,9300,26.417762279999998,79.68717647999999,3138.665061239997,0.03088228248358276,5,ma5_break,ok,104826.79053888217
stwg,ma5_break,2025-07-28,2025-07-29,2025-07-30,600051,宁波联合,59.0,7.743869999999999,7.5862050000000005,13500,27.1809837,77.83446330000001,-2233.4929469999915,-0.021358948143677697,2,ma5_break,ok,102593.29759188218
stwg,ma5_break,2025-07-31,2025-08-01,2025-08-04,600082,ST海泰,55.0,4.022009999999999,3.9880050000000002,25500,26.66592629999999,77.2875369,-971.0809631999728,-0.009465841148078295,2,ma5_break,ok,101622.2166286822
stwg,ma5_break,2025-08-07,2025-08-08,2025-08-14,600051,宁波联合,55.0,7.713855,7.666165,13100,26.27339013,76.32433874,-727.336728869981,-0.007195812698255356,5,ma5_break,ok,100894.87989981222
stwg,ma5_break,2026-02-05,2026-02-06,2026-02-09,600078,澄星股份,57.5,11.375684999999999,11.534229999999999,8800,26.02756728,77.14093023999999,1292.027502479992,0.012903235583852191,2,ma5_break,ok,102186.90740229221
stwg,ma5_break,2026-02-13,2026-02-24,2026-03-03,600089,特变电工,57.5,29.164574999999996,29.66516,3500,26.539763249999996,78.90932559999999,1646.5984111500147,0.016126907453837262,6,ma5_break,ok,103833.50581344223
relay,relay_style,2025-02-24,2025-02-25,2025-02-26,600100,同方股份,0.999999985358834,9.534764999999998,9.165415000000001,10400,25.782004559999997,72.44344016000001,-3939.465444719972,-0.039717422848255704,2,relay_t2_close,ok,96060.53455528003
relay,relay_style,2025-02-27,2025-02-28,2025-03-04,600094,大名城,0.9999999999995003,3.7718849999999997,3.548225,25400,24.909528539999997,68.4949354,-5774.368463939987,-0.06025587968756289,3,relay_loss_rebound_t3,ok,90286.16609134004
relay,relay_style,2025-03-25,2025-03-26,2025-03-28,600105,永鼎股份,0.8535463181284366,7.33583194293,6.247570851900001,12300,23.459990553490144,58.40229232356121,-13467.473702546034,-0.1492171529268446,3,relay_loss_rebound_t3,ok,76818.692388794
relay,relay_style,2025-04-08,2025-04-09,2025-04-10,600094,大名城,0.9997763211880931,3.2116049999999996,3.4082950000000003,23900,19.956913469999996,61.908270380000005,4619.025816150024,0.06016133451806414,2,relay_t2_close,ok,81437.71820494403
relay,relay_style,2025-04-22,2025-04-23,2025-04-24,600105,永鼎股份,0.9124182087452888,6.154554539399999,6.247570851900001,13200,21.122431179220797,62.67563078626081,1144.0172630345332,0.014078264495261015,2,relay_t2_close,ok,82581.73546797856
relay,relay_style,2025-06-09,2025-06-10,2025-06-11,600059,古越龙山,0.8363974502587888,10.955474999999998,10.624685000000001,7500,21.363176249999995,60.56070450000001,-2562.8488807499816,-0.03118298036059034,2,relay_t2_close,ok,80018.88658722858
relay,relay_style,2025-06-17,2025-06-18,2025-06-19,600110,诺德股份,0.9997255664509135,3.931965,4.67766,20300,20.752911270000002,72.16693848000001,15044.688650249998,0.18843632305805919,2,relay_t2_close,ok,95063.57523747858
relay,relay_style,2025-06-24,2025-06-25,2025-06-26,600110,诺德股份,0.999492563469204,6.4032,7.196400000000001,14800,24.6395136,80.94510720000001,11633.775379200015,0.12272950711975321,2,relay_t2_close,ok,106697.3506166786
relay,relay_style,2025-08-15,2025-08-18,2025-08-19,600021,上海电力,0.9999999999999993,11.955974999999999,13.083455,8900,27.666126149999997,88.49648962,9918.40938423002,0.09318674091660216,2,relay_t2_close,ok,116615.76000090862
relay,relay_style,2025-09-02,2025-09-03,2025-09-05,600103,青山纸业,0.999921649930735,2.8214099999999998,2.7386300000000006,41300,30.29630058,85.96011844000002,-3535.0704190199613,-0.030329755868203488,3,relay_loss_rebound_t3,ok,113080.68958188866
relay,relay_style,2025-09-11,2025-09-12,2025-09-15,600071,凤凰光学,1.0,23.09154,23.52823,4800,28.81824192,85.83098304,1981.4627750400105,0.017872235609435377,2,relay_t2_close,ok,115062.15235692867
relay,relay_style,2025-09-24,2025-09-25,2025-09-26,600060,海信视像,0.8815078242525056,25.512749999999997,24.777605,4500,29.849917499999997,84.7394091,-3422.7418265999877,-0.029805159686320474,2,relay_t2_close,ok,111639.41053032868
relay,relay_style,2025-10-09,2025-10-10,2025-10-13,600021,上海电力,1.0,23.53176,23.72813,4700,28.75581072,84.75688036,809.4263089199958,0.0073166477332931475,2,relay_t2_close,ok,112448.83683924867
relay,relay_style,2025-11-10,2025-11-11,2025-11-12,600103,青山纸业,0.999999994731895,4.172085,4.087955,26900,29.179562490000002,83.57415201999999,-2375.850714510001,-0.0211641494015902,2,relay_t2_close,ok,110072.98612473867
relay,relay_style,2025-11-24,2025-11-25,2025-11-27,600097,开创国际,0.9999995331433503,14.197095,12.723635000000002,7700,28.42258419,74.45871202000001,-11448.523296209984,-0.1046999216578524,3,relay_loss_rebound_t3,ok,98624.46282852869
relay,relay_style,2025-12-02,2025-12-03,2025-12-04,600033,福建高速,0.9999999990445398,4.202796097875,4.1492001621,23400,25.5698114594715,73.7893756827864,-1353.5040842772723,-0.013759178059511183,2,relay_t2_close,ok,97270.95874425142
relay,relay_style,2025-12-11,2025-12-12,2025-12-15,600105,永鼎股份,0.9762572319150785,21.05052,20.10994,4600,25.17642192,70.30435024,-4422.148772159984,-0.04565620265105892,2,relay_t2_close,ok,92848.80997209143
relay,relay_style,2025-12-19,2025-12-22,2025-12-23,600076,康欣新材,0.9999999999994846,3.191595,3.328335,29000,24.0646263,73.35650340000001,3868.0388702999917,0.04178035770359523,2,relay_t2_close,ok,96716.84884239142
relay,relay_style,2025-12-24,2025-12-25,2025-12-26,600103,青山纸业,0.9518962891776777,4.392194999999999,4.287855,22000,25.123355399999994,71.6929356,-2392.296290999977,-0.024751286146546838,2,relay_t2_close,ok,94324.55255139145
relay,relay_style,2025-12-29,2025-12-30,2025-12-31,600058,五矿发展,0.767724714515679,11.525759999999998,11.514240000000001,8100,24.273250559999997,70.88166144000002,-188.4669119999744,-0.00201821589355256,2,relay_t2_close,ok,94136.08563939147
relay,relay_style,2026-01-22,2026-01-23,2026-01-26,600058,五矿发展,1.0,15.717855,14.992500000000001,5900,24.111189570000004,67.22637000000002,-4370.932059569997,-0.04712114821153991,2,relay_t2_close,ok,89765.15357982148
relay,relay_style,2026-02-24,2026-02-25,2026-02-26,600096,云天化,0.9963219861399303,40.2201,44.527725,2200,23.005897200000003,74.4503562,9379.318746599994,0.10597235029707013,2,relay_t2_close,ok,99144.47232642147
relay,relay_style,2026-03-02,2026-03-03,2026-03-04,600028,中国石化,0.7756424135195761,7.153575,7.396300000000001,13800,25.667027100000006,77.57239440000001,3246.365578500001,0.03287625208219708,2,relay_t2_close,ok,102390.83790492147
relay,relay_style,2026-03-11,2026-03-12,2026-03-16,600108,亚盛集团,0.9999999033513264,6.7033499999999995,6.15692,15200,26.491639199999998,71.12473984000002,-8403.352379039992,-0.08245256864243058,3,relay_loss_rebound_t3,ok,93987.48552588148
relay,relay_style,2026-03-24,2026-03-25,2026-03-26,600076,康欣新材,0.99906529170746,3.451725,3.5982000000000003,27200,24.4105992,74.3819904,3885.3274104000157,0.04137229645890156,2,relay_t2_close,ok,97872.8129362815
relay,relay_style,2026-04-08,2026-04-09,2026-04-10,600105,永鼎股份,0.999999999996001,33.966975,38.08095,2800,24.7279578,81.0362616,11413.365780599997,0.11997366640517337,2,relay_t2_close,ok,109286.17871688149
relay,relay_style,2026-04-20,2026-04-21,2026-04-22,600072,中船科技,0.8803898813102925,13.436715,13.623185000000001,8100,28.297721789999997,83.86432686,1398.2449513500032,0.012843761531710742,2,relay_t2_close,ok,110684.4236682315
relay,ma5_break,2025-02-24,2025-02-25,2025-02-27,600100,同方股份,0.999999985358834,9.534764999999998,8.73563,10400,25.782004559999997,69.04641952,-8405.83242407997,-0.08474703115526223,3,ma5_break,ok,91594.16757592003
relay,ma5_break,2025-03-25,2025-03-26,2025-03-27,600105,永鼎股份,0.8535463181284366,7.33583194293,6.20790373538,12400,23.65072218400632,58.503284802221124,-14068.46378060621,-0.15461894878127733,2,ma5_break,ok,77525.70379531382
relay,ma5_break,2025-04-08,2025-04-09,2025-04-14,600094,大名城,0.9997763211880931,3.2116049999999996,3.268365,24100,20.123916929999996,59.863373339999995,1287.9287097300112,0.016635649229932308,4,ma5_break,ok,78813.63250504383
relay,ma5_break,2025-04-22,2025-04-23,2025-04-28,600105,永鼎股份,0.9124182087452888,6.154554539399999,6.16823661886,12800,20.4823575071232,60.00460582827009,94.6436537526024,0.0012010801842098444,4,ma5_break,ok,78908.27615879643
relay,ma5_break,2025-06-09,2025-06-10,2025-06-12,600059,古越龙山,0.8363974502587888,10.955474999999998,10.484755000000002,7200,20.508649199999994,57.37257936,-3467.065228559979,-0.04394256481491931,3,ma5_break,ok,75441.21093023646
relay,ma5_break,2025-06-17,2025-06-18,2025-07-01,600110,诺德股份,0.9997255664509135,3.931965,6.286855,19100,19.52613819,91.25998718,44867.612874629995,0.597278733340853,10,ma5_break,ok,120308.82380486645
relay,ma5_break,2025-08-15,2025-08-18,2025-08-26,600021,上海电力,0.9999999999999993,11.955974999999999,13.563215000000001,10000,31.085535,103.08043400000003,15938.234031000044,0.13327303852087805,7,ma5_break,ok,136247.0578358665
relay,ma5_break,2025-09-02,2025-09-03,2025-09-04,600103,青山纸业,0.999921649930735,2.8214099999999998,2.4887550000000003,48200,35.35791012,91.16807316,-16160.496983279998,-0.11880331828898814,2,ma5_break,ok,120086.5608525865
relay,ma5_break,2025-09-11,2025-09-12,2025-09-18,600071,凤凰光学,1.0,23.09154,23.138425,5100,30.619382039999998,89.68453530000001,118.8095826600329,0.0010085919438586808,5,ma5_break,ok,120205.37043524653
relay,ma5_break,2025-09-24,2025-09-25,2025-09-30,600060,海信视像,0.8815078242525056,25.512749999999997,24.107940000000003,4700,31.176580499999996,86.11356168,-6719.89714217998,-0.0560266418569604,4,ma5_break,ok,113485.47329306655
relay,ma5_break,2025-10-09,2025-10-10,2025-10-14,600021,上海电力,1.0,23.53176,22.018985,4800,29.367636479999998,80.32525728,-7371.012893759995,-0.06524070136628266,3,ma5_break,ok,106114.46039930655
relay,ma5_break,2025-11-10,2025-11-11,2025-11-18,600103,青山纸业,0.999999994731895,4.172085,3.9580200000000003,25400,27.552449340000003,76.40561808000001,-5541.209067419986,-0.05227629135215076,6,ma5_break,ok,100573.25133188657
relay,ma5_break,2025-11-24,2025-11-25,2025-11-26,600097,开创国际,0.9999995331433503,14.197095,12.57371,7000,25.838712899999997,66.89213720000001,-11456.4258501,-0.11524941197610251,2,ma5_break,ok,89116.82548178657
relay,ma5_break,2025-12-02,2025-12-03,2025-12-11,600033,福建高速,0.9999999990445398,4.202796097875,4.356660170205,21100,23.056539392942252,69.86340248940738,3153.6119842806365,0.03555286303751325,7,ma5_break,ok,92270.4374660672
relay,ma5_break,2025-12-19,2025-12-22,2025-12-29,600076,康欣新材,0.9999999999994846,3.191595,3.3483250000000004,28900,23.98164483,73.5426103,4431.972744870014,0.04803729678890235,6,ma5_break,ok,96702.41021093722
relay,ma5_break,2026-01-22,2026-01-23,2026-01-26,600058,五矿发展,1.0,15.717855,14.992500000000001,6100,24.928518030000003,69.50523000000001,-4519.09924802999,-0.047121148211539836,2,ma5_break,ok,92183.31096290723
relay,ma5_break,2026-02-24,2026-02-25,2026-03-03,600096,云天化,0.9963219861399303,40.2201,41.15941,2200,23.005897200000003,68.81853352,1974.6575692800106,0.02231069327123132,5,ma5_break,ok,94157.96853218724
relay,ma5_break,2026-03-11,2026-03-12,2026-03-16,600108,亚盛集团,0.9999999033513264,6.7033499999999995,6.15692,14000,24.400194,65.5096288,-7739.929822799997,-0.08245256864243064,3,ma5_break,ok,86418.03870938724
relay,ma5_break,2026-03-24,2026-03-25,2026-03-31,600076,康欣新材,0.99906529170746,3.451725,3.528235,25000,22.4362125,67.036465,1823.2773224999983,0.02112339069442273,5,ma5_break,ok,88241.31603188724
relay,ma5_break,2026-04-08,2026-04-09,2026-04-22,600105,永鼎股份,0.999999999996001,33.966975,45.507235,2500,22.078533750000002,86.46374650000001,28742.107719750013,0.3383832291713268,10,max_hold_10,ok,116983.42375163725
